sampling_week,normalized_concentration_rolling_average,population,region,state,name,fipscode
2020-03-04,,"100,000-200,000",Midwest,IL,Peoria,17143
2020-03-04,,"200,000-500,000",Midwest,IN,Lake,18089
2020-03-04,,"10,000-20,000",Midwest,IN,Steuben,18151
2020-03-04,,"1,000,000-2,000,000",Midwest,MN,Hennepin,27053
2020-03-25,0.0,"10,000-20,000",Midwest,IN,Steuben,18151
2020-04-08,0.0,"10,000-20,000",Midwest,IN,Steuben,18151
2020-04-15,122.45948619194732,"100,000-200,000",Midwest,IL,Peoria,17143
2020-04-15,29.58245986193079,"10,000-20,000",Midwest,IN,Steuben,18151
2020-04-22,146.00542079871647,"100,000-200,000",Midwest,IL,Peoria,17143
2020-04-22,42.46172990402283,"10,000-20,000",Midwest,IN,Steuben,18151
2020-04-22,628.0687002386835,"1,000,000-2,000,000",Midwest,MN,Hennepin,27053
2020-04-29,108.33572114905462,"100,000-200,000",Midwest,IL,Peoria,17143
2020-04-29,53.345665199162205,"10,000-20,000",Midwest,IN,Steuben,18151
2020-05-06,87.88234400844999,"10,000-20,000",Midwest,IN,Steuben,18151
2020-05-13,103.28075611599432,"100,000-200,000",Midwest,IL,Peoria,17143
2020-05-13,124.21902326758509,"200,000-500,000",Midwest,IN,Lake,18089
2020-05-13,86.13934475180106,"10,000-20,000",Midwest,IN,Steuben,18151
2020-05-20,38.91499277857606,"100,000-200,000",Midwest,IL,Peoria,17143
2020-05-20,86.28577070219619,"200,000-500,000",Midwest,IN,Lake,18089
2020-05-20,82.8525485954106,"10,000-20,000",Midwest,IN,Steuben,18151
2020-05-20,502.5150960710948,"1,000,000-2,000,000",Midwest,MN,Hennepin,27053
2020-05-27,70.7165962993656,"100,000-200,000",Midwest,IL,Peoria,17143
2020-05-27,66.98129239588337,"200,000-500,000",Midwest,IN,Lake,18089
2020-05-27,20.40596601730261,"10,000-20,000",Midwest,IN,Steuben,18151
2020-05-27,160.848303708812,"1,000,000-2,000,000",Midwest,MN,Hennepin,27053
2020-06-03,112.06537183724366,"100,000-200,000",Midwest,IL,Peoria,17143
2020-06-03,21.67541103662137,"200,000-500,000",Midwest,IN,Lake,18089
2020-06-03,19.166673756130784,"10,000-20,000",Midwest,IN,Steuben,18151
2020-06-03,210.4920447281153,"1,000,000-2,000,000",Midwest,MN,Hennepin,27053
2020-06-10,151.5133706283945,"100,000-200,000",Midwest,IL,Peoria,17143
2020-06-10,18.55839901458778,"10,000-20,000",Midwest,IN,Steuben,18151
2020-06-10,201.22441933579384,"1,000,000-2,000,000",Midwest,MN,Hennepin,27053
2020-06-17,126.43859107828136,"100,000-200,000",Midwest,IL,Peoria,17143
2020-06-17,43.899842994950745,"200,000-500,000",Midwest,IN,Lake,18089
2020-06-17,27.90546902403045,"10,000-20,000",Midwest,IN,Steuben,18151
2020-06-17,189.58122485207332,"1,000,000-2,000,000",Midwest,MN,Hennepin,27053
