sampling_week,normalized_concentration_rolling_average,population,region
2020-03-04,4.350546343900647,"2,000,000-5,000,000",Nationwide
2020-03-11,16.479595861248306,"2,000,000-5,000,000",Nationwide
2020-03-18,300.87135989225294,"2,000,000-5,000,000",Nationwide
2020-03-25,386.9628531410384,"5,000,000-10,000,000",Nationwide
2020-04-01,647.6075279556616,"5,000,000-10,000,000",Nationwide
2020-04-08,595.394005059861,"5,000,000-10,000,000",Nationwide
2020-04-15,1002.499952751404,"5,000,000-10,000,000",Nationwide
2020-04-22,791.7550263360785,"5,000,000-10,000,000",Nationwide
2020-04-29,639.629214860723,"5,000,000-10,000,000",Nationwide
2020-05-06,198.3731480512505,"10,000,000-20,000,000",Nationwide
2020-05-13,160.860690902611,"5,000,000-10,000,000",Nationwide
2020-05-20,114.8097677449225,"10,000,000-20,000,000",Nationwide
2020-05-27,87.03387860685996,"10,000,000-20,000,000",Nationwide
2020-06-03,108.00088662331582,"10,000,000-20,000,000",Nationwide
2020-06-10,110.87480757548576,"10,000,000-20,000,000",Nationwide
2020-06-17,107.19516124268718,"10,000,000-20,000,000",Nationwide
2020-06-24,117.62794694700274,"10,000,000-20,000,000",Nationwide
2020-07-01,134.5635791291461,"10,000,000-20,000,000",Nationwide
2020-07-08,200.06485679276253,"10,000,000-20,000,000",Nationwide
2020-07-15,188.30902931596697,"10,000,000-20,000,000",Nationwide
2020-07-22,183.1106318939985,"10,000,000-20,000,000",Nationwide
2020-07-29,155.19091178431984,"5,000,000-10,000,000",Nationwide
2020-08-05,148.84104460313688,"10,000,000-20,000,000",Nationwide
2020-08-12,134.5944046499718,"10,000,000-20,000,000",Nationwide
2020-08-19,110.28415015479192,"10,000,000-20,000,000",Nationwide
2020-08-26,105.7976993588204,"10,000,000-20,000,000",Nationwide
2020-09-02,95.8564881480092,"10,000,000-20,000,000",Nationwide
2020-09-09,79.94764313495064,"10,000,000-20,000,000",Nationwide
2020-09-16,68.07807890140721,"10,000,000-20,000,000",Nationwide
2020-09-23,66.20832473198914,"10,000,000-20,000,000",Nationwide
2020-09-30,74.39717639837045,"10,000,000-20,000,000",Nationwide
2020-10-07,97.119456725118,"10,000,000-20,000,000",Nationwide
2020-10-14,133.4747388975389,"10,000,000-20,000,000",Nationwide
2020-10-21,163.62218890471533,"10,000,000-20,000,000",Nationwide
2020-10-28,208.7889141677157,"10,000,000-20,000,000",Nationwide
2020-11-04,314.1438210476845,"10,000,000-20,000,000",Nationwide
2020-11-11,442.49726726540894,"10,000,000-20,000,000",Nationwide
2020-11-18,564.8863300425077,"10,000,000-20,000,000",Nationwide
2020-11-25,604.7688546909425,"10,000,000-20,000,000",Nationwide
2020-12-02,643.9176028913757,"10,000,000-20,000,000",Nationwide
2020-12-09,670.7890070941104,"10,000,000-20,000,000",Nationwide
